sample_id,longitude,latitude,original_class_code,original_class_name,original_verified,original_verification_source,original_verification_notes,second_reader_class_name,second_reader_confidence,second_reader_initials,second_reader_source,second_reader_imagery_date_visible,second_reader_timestamp_utc,second_reader_notes,adjudicated_class_name,adjudication_decision,adjudicator_initials,adjudication_timestamp_utc,adjudication_notes,final_class_name,final_include_in_two_reader_adjudicated_reference,final_resolution_status,contact_sheet,contact_position,contact_sheet_path,map_url
RS01_017,102.6008708,2.3326234,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,1,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=2.3326234,102.6008708"
RS01_018,103.0708762,2.253429,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,2,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=2.253429,103.0708762"
RS01_019,104.1194197,1.7803716,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uncertain,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"Esri VHR visible, but land-cover class is not confidently separable at the point; no guess made.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNCERTAIN,contact_02.png,3,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=1.7803716,104.1194197"
RS01_020,102.5476783,2.8034101,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,4,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=2.8034101,102.5476783"
RS01_021,103.0028103,2.2601784,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,5,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=2.2601784,103.0028103"
RS01_022,102.5775901,2.408082,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,6,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=2.408082,102.5775901"
RS01_023,102.5004858,2.2190227,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,7,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=2.2190227,102.5004858"
RS01_024,102.9053496,1.9152465,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,8,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=1.9152465,102.9053496"
RS01_025,103.5333556,1.4584071,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,9,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=1.4584071,103.5333556"
RS01_026,103.0745937,1.7955253,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,10,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=1.7955253,103.0745937"
RS01_027,103.5668328,1.8486261,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,11,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=1.8486261,103.5668328"
RS01_028,102.703293,2.0370183,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,12,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=2.0370183,102.703293"
RS01_029,102.8062163,2.2659009,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,13,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=2.2659009,102.8062163"
RS01_030,103.156269,1.9442598,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uncertain,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"Esri VHR visible, but land-cover class is not confidently separable at the point; no guess made.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNCERTAIN,contact_02.png,14,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=1.9442598,103.156269"
RS01_031,103.6731291,1.8593174,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,15,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=1.8593174,103.6731291"
RS01_032,103.0504313,1.805315,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_02.png,16,contact_sheets_z18/contact_02.png,"https://www.google.com/maps/search/?api=1&query=1.805315,103.0504313"
RS01_033,103.6272637,1.7605608,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,1,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=1.7605608,103.6272637"
RS01_034,102.8178758,2.7602902,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,2,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.7602902,102.8178758"
RS01_035,102.9687323,2.4528395,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uninterpretable,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"VHR image at point is cloud-obscured, shadowed, or otherwise not interpretable.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNINTERPRETABLE,contact_03.png,3,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.4528395,102.9687323"
RS01_036,103.4215367,1.7157126,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,4,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=1.7157126,103.4215367"
RS01_037,102.9505928,2.705551,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,5,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.705551,102.9505928"
RS01_038,103.4364729,1.8658372,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,6,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=1.8658372,103.4364729"
RS01_039,103.9083223,2.1187873,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uncertain,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"Esri VHR visible, but land-cover class is not confidently separable at the point; no guess made.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNCERTAIN,contact_03.png,7,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.1187873,103.9083223"
RS01_040,103.6123729,2.3149422,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,8,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.3149422,103.6123729"
RS01_041,103.2740914,1.838259,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,9,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=1.838259,103.2740914"
RS01_042,102.9520903,2.0584523,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,10,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.0584523,102.9520903"
RS01_043,102.7137238,2.1072215,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uncertain,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"Esri VHR visible, but land-cover class is not confidently separable at the point; no guess made.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNCERTAIN,contact_03.png,11,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.1072215,102.7137238"
RS01_044,104.1634585,1.6022438,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,12,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=1.6022438,104.1634585"
RS01_045,103.7723509,2.1747769,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,13,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.1747769,103.7723509"
RS01_046,103.362559,2.288443,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,14,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.288443,103.362559"
RS01_047,103.2475371,2.2578362,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,15,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.2578362,103.2475371"
RS01_048,102.9876129,2.2389402,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_03.png,16,contact_sheets_z18/contact_03.png,"https://www.google.com/maps/search/?api=1&query=2.2389402,102.9876129"
RS01_049,103.0429585,2.4915421,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_04.png,1,contact_sheets_z18/contact_04.png,"https://www.google.com/maps/search/?api=1&query=2.4915421,103.0429585"
RS01_050,102.3975387,2.23365,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_04.png,2,contact_sheets_z18/contact_04.png,"https://www.google.com/maps/search/?api=1&query=2.23365,102.3975387"
RS01_051,103.171839,1.8968746,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uncertain,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"Esri VHR visible, but land-cover class is not confidently separable at the point; no guess made.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNCERTAIN,contact_04.png,3,contact_sheets_z18/contact_04.png,"https://www.google.com/maps/search/?api=1&query=1.8968746,103.171839"
RS01_052,102.6925986,2.2722704,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_04.png,4,contact_sheets_z18/contact_04.png,"https://www.google.com/maps/search/?api=1&query=2.2722704,102.6925986"
RS01_053,102.8568468,2.8241164,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uninterpretable,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"VHR image at point is cloud-obscured, shadowed, or otherwise not interpretable.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNINTERPRETABLE,contact_04.png,5,contact_sheets_z18/contact_04.png,"https://www.google.com/maps/search/?api=1&query=2.8241164,102.8568468"
