action,path,detail
normalized_public_paths,results/active_q25_rerun/predictions_by_fold.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/provenance.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/reference_sample_audit.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/RUN_LOG_20260612T172442Z.txt,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/RUN_LOG_20260612T173210Z.txt,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/run_status.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/study_area_audit.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table10_leave_region_out_transfer.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table10_leave_region_out_transfer_per_class.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table11_region_transfer_conformal.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table12_region_transfer_morans_i.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table3_accuracy_by_stack_split.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table6_ece.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table7_conformal.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table8_morans_i.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/table9_landscape_regression.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/topjournal_transfer_experiment_provenance.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/transfer_missing_value_policy_audit.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/variogram_bins.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/variogram_choice.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/evidence_summary/conformal_summary.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/evidence_summary/fold3_teacher_vhr_alphaearth_spatial_fold_level_differences_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/evidence_summary/fold3_teacher_vhr_alphaearth_spatial_paired_bootstrap_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/evidence_summary/fold3_teacher_vhr_landscape_regression_fdr_audit_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/evidence_summary/fold3_teacher_vhr_revision_audits_provenance_20260613.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/evidence_summary/landscape_regression_top.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/evidence_summary/targeted_user_confirmed_80_result_summary.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/evidence_summary/transfer_conformal_summary.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/region_calibration_evidence/region_specific_calibration_manifest_20260613.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/region_calibration_evidence/rubber_belt_region_specific_calibration_detail_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/reviewer_risk_evidence/conformal_informativeness_primary_RF_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/reviewer_risk_evidence/fold3_support_sensitivity_B2_RF_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/reviewer_risk_evidence/q25_distance_sensitivity_primary_RF_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/reviewer_risk_evidence/reviewer_risk_evidence_manifest_20260613.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/reviewer_risk_evidence/rubber_belt_B2_B3_transfer_consistency_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/review_planning/fig10_provenance.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/review_planning/sample_level_failure_disagreement.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/review_planning/targeted_validation_candidate_summary_review_planning_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/review_planning/targeted_validation_queue_reconstruction_provenance_20260613.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/conformal_coverage_audit_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/conformal_random_undercoverage_summary_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/confusion_matrix_B2_RF_random_spatial_counts_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/confusion_matrix_B2_RF_random_spatial_row_normalized_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/confusion_matrix_B2_RF_summary_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/figure_resolution_audit_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/method_completeness_audit_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/metrics_dispersion_summary_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/primary_b2_rf_headline_audit_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/region_class_counts_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/region_transfer_similarity_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/rubber_belt_calibration_majority_baseline_detail_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/rubber_belt_calibration_majority_baseline_summary_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/sample_design_audit_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/second_round_reviewer_evidence_manifest_20260613.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/second_round_evidence/temporal_alignment_audit_20260613.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/spatial_sensitivity/RUN_LOG_20260612T172827Z.txt,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/spatial_sensitivity/RUN_LOG_20260612T173903Z.txt,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/spatial_sensitivity/spatial_cv_sensitivity_fold_audit.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/spatial_sensitivity/spatial_cv_sensitivity_missing_value_policy_audit.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/spatial_sensitivity/spatial_cv_sensitivity_predictions.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/spatial_sensitivity/table13_spatial_cv_sensitivity.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/spatial_sensitivity/table13_spatial_cv_sensitivity_summary.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/spatial_sensitivity/topjournal_improvements_provenance.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/variogram/block_distance_decision_20260612.md,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/variogram/block_distance_practical_rule_20260612.md,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/variogram/block_distance_practical_rule_20260613.md,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/variogram/block_distance_practical_rule_summary_20260612.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/variogram/block_distance_practical_rule_summary_20260613.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/variogram/variogram_indicator_bins.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/variogram/variogram_indicator_ranges.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/variogram/variogram_indicator_summary.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,scripts/pipeline/compute_indicator_variogram_final_revision_20260612.py,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,scripts/pipeline/run_fold3_teacher_vhr_variogram_q25_20260613.py,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,scripts/pipeline/run_reproducible_pipeline.py,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,scripts/pipeline/select_practical_indicator_block_distance_20260612.py,local absolute paths replaced with package-relative or not-included provenance paths
created_result_group_readme,results/spatial_sensitivity/README.md,
created_result_group_readme,results/review_planning/README.md,
removed_invalid_cff_placeholder_url,CITATION.cff,repository-code omitted until a real public URL exists
created_author_actions_doc,docs/AUTHOR_ACTIONS.md,
updated_readme,README.md,
updated_file_map,docs/FILE_MAP.md,
updated_reproducibility_doc,docs/REPRODUCIBILITY.md,
